Bachelor_Favoritism,TV_most_1_TEXT,TV_most_2_TEXT,TV_most_3_TEXT,TV_most_4_TEXT,TV_most_5_TEXT,Age,Sex,Race,Rel,Sex_or,Spir,TV,Tvsoap,Tvdrama,Tvsitcom,Cheated,Phys,Emo,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10,IC11,IC12,IC13,IC14,IC15,IC16,IC17,IC18,IC19,IC20,IT1,IT2,IT3,IT4,IT5,IT6,IT7,IT8,IT9,IT10,IT11,IT12,IT13,IT14,IT15,Inftotr,condo,F1,F2,F3,F4,F5,F6,New,IC,TV_sex1,TV_sex2,TV_sex3,Single,White,Porn3,Cohab,No56
0,Friends,n/a,n/a,n/a,n/a,20,2,6,3,1,60,2,0,0,2,2,,,6,1,7,2,5,4,1,2,4,1,4,7,7,7,7,7,7,7,7,7,2,4,1,2,3,1,1,1,1,1,1,1,1,4,1,1.67,1,30,65,20,50,70,10,5,5,1,1,1,0,0,1,0,40
0,The Walking Dead,Outsiders,Better Call Saul,Dexter,House,24,2,5,3,1,40,5,1,3,1,1,1,3,5,1,1,2,2,2,1,2,3,3,2,3,3,1,1,1,1,1,1,1,1,1,1,3,4,2,2,3,1,2,1,1,3,2,1,1.87,1,35,50,30,40,60,50,4,1.85,2,2,1,0,1,1.67,0,55
0,Scandal,Jane the Virgin,Teen Mom OG,Suits,Fuller House,20,2,5,3,1,0,6,0,6,0,2,,,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,3,1,1,1,1,3,3,2,1.6,2,75,77,35,40,40,35,3,1.2,1,1,1,0,1,1,0,37.5
0,Grey's Anatomy,Friday Night Lights,Shark Tank,Orange Is the New Black,Law and Order SVU,20,2,5,3,1,81,1,0,1,0,2,,,2,2,1,4,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,2,1,2,3,1,5,5,2,2.07,2,31,32,19,40,15,9,5,1.8,1,1,1,0,1,1,0,12
0,Gossip Girl,The Carrie Diaries,How to Get Away with Murder,Fuller House,Pretty Little Liars,18,2,2,1,1,81,2,2,2,2,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,2,2,2,3,3,1,1,1,1,4,4,1,1.87,1,40,40,19,20,19,18,4,4,2,3,1,1,0,2,0,18.5
0,Saturday Night Live,Parks and Recreation,Grey's Anatomy,Modern Family,Shark Tank,19,2,5,1,1,50,12,0,0,6,1,5,5,4,4,1,1,1,4,4,4,4,1,1,1,1,1,1,1,4,3,1,1,3,3,3,4,4,2,2,3,1,3,4,3,2,3,1,2.73,0,51,56,10,40,43,10,4,2.15,1,1,1,1,1,1,0,26.5
,0,0,0,0,0,22,1,2,2,1,90,0,0,0,0,1,2,2,5,2,3,4,6,3,5,5,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,1,1,1,2,1,1,1,5,3,1.93,1,70,80,80,70,70,65,2,2.5,4,4,2,0,0,3.33,0,67.5
0,Brooklyn 9-9,Bob's Burgers,Jane the Virgin,Master of None,The Voice,19,2,2,1,1,70,12,0,4,8,2,,,5,2,7,3,4,5,6,4,5,2,3,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,1,1,1,2,2,2,3,4,1,1.67,2,45,45,33,42,54,41,4,3.2,6,6,1,1,0,4.33,0,47.5
0,The Big Bang Theory,2 Broke Girls,The Flash,Running Man,infinite challenges,21,2,2,1,1,70,10,5,3,1,1,3,3,5,3,7,7,7,5,4,6,5,3,6,7,7,7,7,7,7,7,7,7,1,1,4,1,1,3,1,1,3,1,1,3,4,4,2,2.07,1,60,70,19,40,49,26,3,6.05,1,1,1,1,0,1,0,37.5
0,How I Met Your Mother,New Girl,Jane the Virgin,Friends,Modern Family,21,2,6,1,1,4,4,0,2,2,2,,,2,2,4,2,2,1,2,2,4,3,1,2,1,2,2,2,3,2,2,2,1,1,1,3,3,1,1,1,1,2,2,1,3,4,1,1.73,0,41,32,11,37,38,18,2,2.15,1,1,1,1,0,1,0,28
